Iteración,Dataset,p,ro,mu,n,w,Valor Objetivo,Tiempo,Factibilidad
0,2,0.7,0.3,1.0,5,2,264344475.45110598,1671.7725746631622,True
1,2,0.7,0.3,1.0,5,2,262380006.37651625,1682.0160579681396,True
2,2,0.7,0.3,1.0,5,2,258865107.95332694,1726.1815741062164,True
0,2,0.7,0.3,1.5,5,2,273872074.18170106,1801.8701951503754,True
1,2,0.7,0.3,1.5,5,2,276610918.2089642,2039.7714760303497,True
2,2,0.7,0.3,1.5,5,2,276785518.0393742,1798.3500158786774,True
0,2,0.7,0.3,2.0,5,2,283199085.37009764,1732.0324840545654,True
1,2,0.7,0.3,2.0,5,2,282224216.0775006,1704.5814542770386,True
2,2,0.7,0.3,2.0,5,2,281489769.0744503,1878.4753248691559,True
0,2,0.7,0.3,2.5,5,2,297668874.57745636,1782.7055389881134,True
1,2,0.7,0.3,2.5,5,2,295953671.2217406,1630.160397052765,True
2,2,0.7,0.3,2.5,5,2,300857736.0943952,1673.5766441822052,True
0,2,0.7,0.3,3.0,5,2,300941920.8641896,2099.3990981578827,True
1,2,0.7,0.3,3.0,5,2,302812123.6687626,1705.4528648853302,True
2,2,0.7,0.3,3.0,5,2,299987079.20032495,1608.3643584251404,True
0,2,0.7,0.3,3.5,5,2,300997254.6857752,1506.4595272541046,True
1,2,0.7,0.3,3.5,5,2,307758120.2887056,1598.9287838935852,True
0,2,0.7,0.3,3.5,5,2,301435488.8318635,1668.2506928443909,True
0,2,0.7,0.4,1.0,5,2,270107995.74411213,1519.822639465332,True
1,2,0.7,0.4,1.0,5,2,259998894.42763764,1620.3484139442444,True
2,2,0.7,0.4,1.0,5,2,259279807.23372376,1646.3065030574799,True
0,2,0.7,0.4,1.5,5,2,282561486.27900404,1536.5140225887299,True
1,2,0.7,0.4,1.5,5,2,278285860.2611766,1701.3060097694397,True
2,2,0.7,0.4,1.5,5,2,274296924.5666507,1687.2560231685638,True
0,2,0.7,0.4,2.0,5,2,284753880.2246418,1661.0396151542664,True
1,2,0.7,0.4,2.0,5,2,285796089.8431425,1450.566989660263,True
2,2,0.7,0.4,2.0,5,2,286716138.0122921,1696.5818552970886,True
0,2,0.7,0.4,2.5,5,2,292394731.34695363,1801.7499849796295,True
1,2,0.7,0.4,2.5,5,2,291538813.45716596,1674.0774700641632,True
2,2,0.7,0.4,2.5,5,2,289435768.7366045,1589.0397531986237,True
0,2,0.7,0.4,3.0,5,2,293210622.499074,1360.0574476718903,True
1,2,0.7,0.4,3.0,5,2,296841484.387249,1891.0426919460297,True
2,2,0.7,0.4,3.0,5,2,294274868.40714854,1738.6080570220947,True
0,2,0.7,0.4,3.5,5,2,298240088.3470286,1296.6248779296875,True
1,2,0.7,0.4,3.5,5,2,299539911.9055342,1377.7612099647522,True
2,2,0.7,0.4,3.5,5,2,297037414.2768851,1373.3271486759186,True
0,2,0.7,0.5,1.0,5,2,261321152.23556796,1429.851490020752,True
1,2,0.7,0.5,1.0,5,2,272463960.1445019,1459.2496273517609,True
2,2,0.7,0.5,1.0,5,2,263640960.65690398,1624.3517756462097,True
0,2,0.7,0.5,1.5,5,2,271910276.44813186,1621.212925195694,True
1,2,0.7,0.5,1.5,5,2,277759947.6046967,1547.6060211658478,True
2,2,0.7,0.5,1.5,5,2,278211011.2665917,1639.4665393829346,True
0,2,0.7,0.5,2.0,5,2,283890312.05813646,1688.3172199726105,True
1,2,0.7,0.5,2.0,5,2,278499581.56034845,1735.2962663173676,True
2,2,0.7,0.5,2.0,5,2,280633653.456624,1600.2464728355408,True
0,2,0.7,0.5,2.5,5,2,286211806.85727894,1556.8063988685608,True
1,2,0.7,0.5,2.5,5,2,287184955.85242885,1593.5334799289703,True
2,2,0.7,0.5,2.5,5,2,286107871.70956373,1289.7991948127747,True
0,2,0.7,0.5,3.0,5,2,287619654.50463957,1610.854819536209,True
1,2,0.7,0.5,3.0,5,2,288030119.5510623,1697.587569952011,True
2,2,0.7,0.5,3.0,5,2,284570150.26364595,1578.9674189090729,True
0,2,0.7,0.5,3.5,5,2,290696624.5384625,1432.832561969757,True
1,2,0.7,0.5,3.5,5,2,290771156.7061622,1223.964765071869,True
2,2,0.7,0.5,3.5,5,2,287231503.4619917,1396.232628107071,True
0,2,0.7,0.6,1.5,5,2,265429121.57693753,1168.6854271888733,True
1,2,0.7,0.6,1.5,5,2,268669899.7827777,1318.342060804367,True
2,2,0.7,0.6,1.5,5,2,271088974.2160978,1644.3642251491547,True
0,2,0.7,0.6,2.0,5,2,273877959.77909297,1290.2933146953583,True
1,2,0.7,0.6,2.0,5,2,272428386.72466,1632.4072661399841,True
2,2,0.7,0.6,2.0,5,2,273153173.8712,1359.784312345456,True
0,2,0.7,0.6,2.5,5,2,279543400.03581595,1294.4859356880188,True
1,2,0.7,0.6,2.5,5,2,280045824.18234372,1329.5674898765568,True
2,2,0.7,0.6,2.5,5,2,280401382.97248113,1549.6505987644196,True
0,2,0.7,0.6,3.0,5,2,282158920.426098,1433.572828054428,True
1,2,0.7,0.6,3.0,5,2,282557771.75330436,1324.9956459999084,True
2,2,0.7,0.6,3.0,5,2,283759017.7952927,2401.4633638858795,True
0,2,0.7,0.6,3.5,5,2,286092978.80793333,1681.889848947525,True
1,2,0.7,0.6,3.5,5,2,283947724.6387654,1641.2279870510101,True
2,2,0.7,0.6,3.5,5,2,285144963.33114624,2167.2628569602966,True
